,zip,fip,diff
0,70175,22071,0
1,11542,36059,0
2,11547,36059,0
3,11545,36059,0
4,11548,36059,0
5,19399,42029,0
6,19398,42029,0
7,19397,42029,0
8,19395,42029,0
9,19390,42029,0
10,82443,56017,0
11,82442,56043,0
12,82441,56003,0
13,82440,56029,0
14,46135,18133,0
15,46133,18041,0
16,46131,18081,0
17,46130,18145,0
18,70179,22071,0
19,19973,10005,0
20,19971,10005,0
21,19970,10005,0
22,19977,10001,0
23,19975,10005,0
24,73622,40149,0
25,19979,10001,0
26,16701,42083,0
27,88023,35017,0
28,46704,18003,0
29,88021,35013,0
30,88020,35023,0
31,12019,36091,0
32,12018,36083,0
33,3246,33001,0
34,42086,21145,0
35,12015,36039,0
36,12017,36021,0
37,88028,35017,0
38,12010,36057,0
39,94080,06081,0
40,64674,29115,0
41,64676,29041,0
42,64676,29115,1
43,64670,29061,0
44,64671,29025,0
45,64672,29171,0
46,64673,29129,0
47,17250,42055,0
48,17251,42055,0
49,17252,42055,0
50,17253,42061,0
51,17254,42055,0
52,17255,42061,0
53,17256,42055,0
54,17257,42041,0
55,63025,29099,0
56,10709,36119,0
57,10708,36119,0
58,63020,29099,0
59,42081,21139,0
60,54546,55003,0
61,63023,29099,0
62,10703,36119,0
63,10702,36119,0
64,10701,36119,0
65,80281,08031,-2
66,10707,36119,0
67,10706,36119,0
68,10705,36119,0
69,10704,36119,0
70,46793,18033,0
71,46792,18069,0
72,46791,18179,0
73,46789,18179,1
74,21619,24035,0
75,46796,18113,0
76,46795,18087,0
77,46794,18113,0
78,21617,24035,0
79,46798,18003,0
80,21610,24019,1
81,21610,24001,0
82,21613,24019,0
83,21612,24041,0
84,54541,55041,0
85,4047,23031,0
86,69170,31111,0
87,69171,31047,0
88,4046,23031,0
89,72629,05141,0
90,45448,39113,0
91,45449,39113,0
92,4041,23017,0
93,45441,39113,3
94,80271,08031,0
95,45440,39113,0
96,4040,23005,0
97,44799,39151,0
98,54540,55125,0
99,4043,23031,0
100,4042,23031,0
101,46869,18003,0
102,46868,18003,0
103,58079,38017,0
104,58078,38017,0
105,46861,18003,0
106,46860,18003,0
107,46863,18003,0
108,46862,18003,0
109,46865,18003,0
110,46864,18003,0
111,46867,18003,0
112,46866,18003,0
113,54543,55085,0
114,4049,23031,0
115,97028,41005,0
116,90310,06037,0
117,62360,17001,0
118,90312,06037,0
119,62361,17149,0
120,54542,55037,0
121,99606,02070,0
122,96130,06035,0
123,13052,36053,0
124,13053,36109,0
125,13051,36023,-1
126,13051,36067,0
127,13056,36023,0
128,13057,36067,0
129,13054,36065,0
130,13054,36023,1
131,54170,55087,0
132,54171,55083,0
133,54173,55009,0
134,54174,55083,0
135,54175,55083,0
136,54175,55083,1
137,54177,55075,0
138,94541,06001,0
139,94540,06001,0
140,94543,06001,0
141,94542,06001,0
142,62089,17135,0
143,62088,17117,0
144,94547,06013,0
145,94546,06001,0
146,62085,17117,0
147,62084,17119,0
148,62087,17119,0
149,62086,17005,0
150,62081,17061,0
151,62080,17051,0
152,62083,17021,0
153,62082,17061,0
154,20250,11001,0
155,20251,11001,0
156,16882,42027,0
157,44427,39029,0
158,40964,21095,0
159,44424,39155,0
160,40962,21051,0
161,44422,39099,0
162,44420,39155,0
163,44429,39099,0
164,44428,39155,0
165,23509,51710,0
166,23508,51710,0
167,23507,51710,0
168,23506,51710,0
169,7675,34003,0
170,23504,51710,0
171,23503,51710,0
172,23502,51710,0
173,23501,51710,0
174,7670,34003,0
175,40328,21021,0
176,27619,37183,0
177,40328,21205,1
178,27615,37183,0
179,27614,37183,0
180,27613,37183,0
181,27612,37183,0
182,27611,37183,0
183,27610,37183,0
184,59038,30103,0
185,59039,30087,0
186,59032,30027,0
187,59033,30097,0
188,59030,30067,0
189,59031,30003,0
190,59036,30107,0
191,59037,30111,0
192,59034,30003,0
193,59035,30003,0
194,12833,36091,0
195,12832,36115,0
196,12831,36091,0
197,12837,36115,0
198,12836,36113,0
199,12835,36091,0
200,12834,36115,0
201,12839,36115,0
202,12838,36115,0
203,92262,06065,0
204,92263,06065,0
205,92260,06065,0
206,92261,06065,0
207,92266,06025,0
208,92267,06071,0
209,92264,06065,0
210,92268,06071,0
211,92268,06025,1
212,66506,20161,0
213,66507,20197,0
214,66501,20197,0
215,66502,20161,0
216,66508,20117,0
217,66509,20085,0
218,6108,09003,0
219,6109,09003,0
220,6106,09003,0
221,6107,09003,0
222,6104,09003,0
223,6105,09003,0
224,6102,09003,0
225,6103,09003,0
226,6101,09003,0
227,60901,17091,1
228,60901,17091,0
229,26568,54033,0
230,26566,54049,0
231,26562,54103,0
232,26563,54049,0
233,26560,54049,0
234,26561,54103,0
235,70789,22037,0
236,48919,26065,0
237,65264,29007,0
238,65265,29007,0
239,48918,26065,0
240,65260,29175,0
241,65261,29041,0
242,65262,29027,0
243,65263,29137,0
244,59732,30001,0
245,48913,26065,0
246,48912,26065,0
247,32224,12031,0
248,32225,12031,0
249,32226,12031,0
250,32227,12031,0
251,32220,12031,0
252,32221,12031,0
253,32222,12031,0
254,32223,12031,0
255,32228,12031,0
256,32229,12031,0
257,98109,53033,0
258,98108,53033,0
259,75287,48113,0
260,4474,23019,0
261,98107,53033,0
262,75284,48113,0
263,98101,53033,0
264,98103,53033,0
265,4475,23019,0
266,4476,23009,0
267,98647,53069,0
268,41063,21117,0
269,98644,53049,0
270,73851,40059,0
271,57661,46041,0
272,57660,46031,0
273,98645,53015,0
274,99850,02220,0
275,98642,53011,0
276,98640,53049,0
277,98641,53049,0
278,52101,19191,0
279,73858,40045,0
280,60018,17031,0
281,60019,17031,0
282,60014,17111,0
283,60015,17097,0
284,60016,17031,0
285,60017,17031,0
286,60010,17097,0
287,60011,17097,0
288,60012,17111,0
289,60013,17111,0
290,21930,24015,0
291,4617,23029,1
292,4619,23029,0
293,4611,23029,0
294,4612,23009,0
295,4613,23009,0
296,4614,23009,0
297,4614,23009,1
298,4616,23009,0
299,4617,23009,0
300,501,36103,0
301,77380,48339,0
302,79404,48303,1
303,79404,48303,0
304,15701,42063,0
305,15705,42063,0
306,72454,05021,0
307,79401,48303,0
308,37304,47065,0
309,24147,51071,0
310,37306,47051,0
311,37307,47139,0
312,24142,51750,0
313,24143,51750,0
314,37302,47065,0
315,24141,51750,0
316,79402,48303,0
317,37308,47065,0
318,37309,47107,0
319,24148,51089,0
320,24149,51121,0
321,22485,51099,0
322,88022,35017,0
323,6331,09015,0
324,22480,51103,0
325,88025,35017,0
326,98684,53011,0
327,22482,51103,0
328,68348,31097,0
329,68349,31025,0
330,68344,31131,0
331,68345,31133,0
332,68346,31131,0
333,68347,31025,0
334,68340,31169,0
335,68341,31151,0
336,68342,31095,0
337,68343,31151,0
338,44707,39151,0
339,24867,54109,0
340,7999,34027,0
341,30334,13121,0
342,30334,13121,1
343,30336,13121,0
344,30337,13121,0
345,30329,13121,1
346,30331,13121,0
347,30332,13121,0
348,30333,13089,0
349,30338,13121,0
350,30339,13067,0
351,76161,48439,0
352,72394,05123,0
353,72395,05093,0
354,72396,05037,0
355,72396,05037,1
356,72390,05107,0
357,72391,05093,0
358,72392,05123,0
359,64679,29079,0
360,91210,06037,0
361,91214,06037,0
362,35218,01073,0
363,35219,01073,0
364,35214,01073,0
365,35215,01073,0
366,35216,01073,0
367,35217,01073,0
368,35210,01073,0
369,35211,01073,0
370,35212,01073,0
371,35213,01073,0
372,2120,25025,0
373,2121,25025,0
374,2122,25025,0
375,2123,25025,0
376,2124,25025,0
377,2125,25025,0
378,2126,25025,0
379,2127,25025,0
380,2128,25025,0
381,2129,25025,0
382,23269,51760,0
383,87901,35051,0
384,50039,19049,0
385,4979,23025,0
386,4978,23025,0
387,4975,23025,0
388,4974,23027,0
389,4976,23025,0
390,4971,23025,0
391,4970,23007,0
392,4973,23027,0
393,4972,23027,0
394,63028,29099,0
395,84761,49021,0
396,73447,40069,0
397,73446,40095,0
398,73443,40019,0
399,73442,40137,0
400,73441,40085,0
401,73440,40095,0
402,46797,18003,0
403,50036,19015,0
404,73449,40013,0
405,73448,40085,0
406,61477,17057,0
407,61476,17131,0
408,46799,18003,0
409,1473,25027,0
410,1472,25017,0
411,1471,25017,0
412,1470,25017,0
413,1475,25027,2
414,1475,25027,0
415,1474,25017,0
416,88555,48141,0
417,49560,26081,0
418,61479,17175,0
419,61478,17187,0
420,5201,50003,0
421,98498,53053,0
422,58461,38003,0
423,75065,48085,1
424,38569,47159,0
425,38568,47133,0
426,38560,47159,0
427,38563,47159,0
428,38562,47087,0
429,38565,47049,0
430,38564,47087,0
431,38567,47159,0
432,53561,55111,0
433,70139,22071,0
434,70130,22071,0
435,70131,22071,0
436,96748,15009,0
437,44221,39153,0
438,44223,39153,0
439,44222,39153,0
440,44224,39153,0
441,36177,01101,0
442,18769,42079,0
443,98493,53053,1
444,18762,42079,-1
445,33525,12101,0
446,18762,42079,1
447,18762,42079,0
448,18765,42079,0
449,18764,42079,0
450,18767,42079,0
451,18766,42079,0
452,41543,21195,0
453,41542,21195,0
454,87125,35001,0
455,41540,21195,0
456,41547,21195,0
457,41547,21195,-1
458,41544,21195,1
459,41544,21195,0
460,41549,21195,0
461,41548,21195,0
462,98493,53053,0
463,83637,16015,0
464,83636,16045,0
465,83635,16085,0
466,83634,16001,0
467,83633,16039,0
468,83632,16003,0
469,83631,16015,0
470,83630,16027,0
471,83639,16073,0
472,83638,16085,0
473,98493,53053,-1
474,75060,48113,0
475,71772,05019,0
476,71770,05027,0
477,76206,48121,0
478,76204,48121,0
479,76205,48121,0
480,76202,48121,0
481,76203,48121,0
482,76201,48121,0
483,58075,38077,0
484,12589,36111,0
485,12588,36111,0
486,58074,38077,0
487,12583,36027,0
488,12582,36027,0
489,12581,36027,0
490,12580,36027,0
491,12586,36071,0
492,12585,36027,0
493,12584,36071,0
494,95968,06007,0
495,95969,06007,0
496,58076,38077,0
497,95960,06057,0
498,58071,38017,0
499,95962,06115,0
500,95963,06021,0
501,14745,36003,0
502,95966,06007,0
503,95967,06007,0
504,76073,48237,2
505,58072,38003,0
506,96740,15001,0
507,76073,48367,1
508,65068,29053,0
509,65069,29139,0
510,65066,29073,0
511,65067,29027,0
512,65064,29131,0
513,65065,29029,0
514,65062,29073,0
515,65063,29027,0
516,65061,29073,0
517,77665,48071,0
518,22749,51157,0
519,77662,48361,0
520,58545,38065,2
521,13678,36089,0
522,13679,36045,0
523,43338,39117,0
524,90311,06037,0
525,13672,36089,0
526,13673,36045,0
527,13670,36089,0
528,13671,36045,0
529,13676,36089,0
530,13677,36089,0
531,13674,36045,0
532,13675,36045,0
533,16003,42019,0
534,16001,42019,0
535,96162,06075,269
536,52349,19011,0
537,17358,42133,0
538,17355,42133,0
539,52344,19113,0
540,52347,19095,0
541,17356,42133,0
542,52341,19113,0
543,17350,42001,0
544,17353,42001,0
545,17352,42133,0
546,96747,15007,0
547,48125,26163,0
548,60209,17031,42
549,96746,15007,0
550,69034,31029,1
551,69034,31145,0
552,69037,31057,0
553,69036,31145,0
554,69030,31085,1
555,20868,24031,0
556,64001,29107,0
557,69032,31085,0
558,88213,35025,0
559,20866,24031,0
560,20861,24031,0
561,20860,24031,0
562,20862,24031,0
563,91367,06037,0
564,93550,06037,0
565,90295,06037,0
566,45638,39087,0
567,48209,26163,0
568,48208,26163,0
569,90291,06037,0
570,90290,06037,0
571,90293,06037,0
572,90292,06037,0
573,45631,39053,0
574,45630,39145,0
575,45633,39141,0
576,48207,26163,0
577,45634,39163,0
578,48205,26163,0
579,45636,39145,0
580,16917,42117,1
581,42171,21227,0
582,42170,21227,0
583,16914,42015,0
584,16915,42105,0
585,63783,29157,0
586,16917,42117,0
587,16910,42015,0
588,16911,42117,0
589,16912,42117,0
590,63785,29157,1
591,97470,41019,0
592,97471,41039,1
593,97473,41019,0
594,12208,36001,0
595,12209,36001,0
596,97476,41015,0
597,97477,41039,0
598,12204,36001,0
599,12205,36001,0
600,12206,36001,0
601,12207,36001,0
602,12201,36001,0
603,12202,36001,0
604,12203,36001,0
605,84630,49039,0
606,10518,36119,0
